Text,Types
A middle aged man groped me and tried to touch my private parts.,Touching /Groping
A guy touched my private part while crossing me on the street.,Touching /Groping
A guy touched my private part while crossing me on the street.,Touching /Groping
Boys often comments on girls.,Commenting
Two boys were stalking me and my friends and singing item numbers.,Commenting
A boy commented on my short dress,Commenting
A boy used to stalk and comment on my friend on her way to tuition,Commenting
Boys in my way stares and comments such vulgar things that I feel very awkward,Catcalls/Whistles
Boys always comment,Commenting
A group of boys started making sounds and commented on my dress.,Commenting
A boy was staring at me continuously and I got uncomfortable,Ogling/Facial Expressions/Staring
A boy often stalks me and comments. And when I complain it to my parents they blame me only.,Catcalls/Whistles
A boy used to stalk me and later on he used to roam around my house as well. And then he started comment on me as well.,Commenting
Boys often comments and stalks girls on their way to school and back home.,Catcalls/Whistles
"I was in Bandra to meet my friends, took a rickshaw from the station. At the signal, the rickshaw driver stopped and turned around to talk to me. Then he pointed to my nose, and told me there was something on it. I got really confused, I touched my nose, couldn't feel anything out of the ordinary. I was doing that, and then suddenly he said ""No no, it's here"" and leaned in and proceeded to SQUEEZE my nose. Literally pinched my nostrils. I was so not expecting that. Was just sitting stunned for a second. Like what just happened? Then the traffic lights turned green and he started driving again. I noticed he kept looking at me from the mirror. Got so scared. I tried just breathing from my mouth for the remainder of the journey. I was quite shocked. I texted my friend his number plate and everything, in case he was trying to drug and kidnap me or something. Then finally, when I reached the destination and was paying and getting off, he says ""Oh did you find what it was on your nose then?"" I said No... Then he almost reached out to touch my nose again. And I just backed away and gave him a glare, so he stopped. Then he said ""It must have been a nose hair, don't you remove them?"" and I was still confused, because it all felt so absurd. He drove off then. I don't know what he was up to. There was definitely no nose hair, not that he could see a tiny hair from such a far distance. And it could just be me, but I think I saw him reach into something kept below before he turned around and proceeded to pinch my nose. I was just so shaken and scared the whole time. Thought I might actually not make it home. number plate. Number plate MH 02 EW 1141",Touching /Groping
A man was staring at me continuously while I was having some street food.,Ogling/Facial Expressions/Staring
A man was staring at me continuously while I was having some street food.,Ogling/Facial Expressions/Staring
A man was staring at me continuously while I was having some street food.,Ogling/Facial Expressions/Staring
Boys stalk and comments on our way to school and back home.,Commenting
Girls are often stalked and commented on their way to school and back home,Commenting
A young man said to a girl that she has pretty body to walk alone on a concert,Commenting
Girls are often commented,Commenting
2-3 boys were passing cheap comments on us.,Commenting
Boys often comment on girls,Commenting
I was stalked by a boy while going to school and way back home.,Stalking
A man in a car followed me and tried to force me inside the car.,Stalking
A guy just touched my chest while I was going back to hostel.,Touching /Groping
A boy commented on my body type. He body shamed me,Commenting
A group of boys commented on my dress,Commenting
Boys comment on my dress.,Commenting
An old man touched me from my back which made me feel very bad.,Touching /Groping
A man started masturbating finding me and my friend alone.,Indecent exposure
A group of men were catcalling a girl and singing songs.,Catcalls/Whistles
A man was just showing his private part,Indecent exposure
A guy started following me and was continuously catcalled till I reached my hostel.,Catcalls/Whistles
Boys often comments and stalks on our way to schools and back,Commenting
"When I was going to school, a group of boys commented with very vulgar words",Commenting
I saw a boy stalking and commenting on a girl while she was returning from her school,Commenting
Isme and my friend was waiting for the rickshaw. Suddenly a guy came and pinched my friend at the back and just went smiling,Touching /Groping
I was stalked by a group of 3 boys,Stalking
A man was staring me from top to bottom,Ogling/Facial Expressions/Staring
"Boys often catcalls like item, come & sit on my bike.they ask us to call them. They stalk us everywhere.",Catcalls/Whistles
A group of boys stalked me while returning home.,Stalking
"Often boys whistles, comments and stalks girls",Catcalls/Whistles
My daughter was stalked many times while coming back home.,Stalking
Commented by a group of boys.,Commenting
"While returning home, often boys stalk me and asks for my number, catcalls me",Catcalls/Whistles
A group of people were stalking me.,Stalking
"Whenever we return to home from school, boys comment on us, gives us flying kiss.",Catcalls/Whistles
An old age man in the Bhekavali village of Mahabaaleshwar used to talk many women indirectly about sexual contact or comments on the sexual capabilities of his own and of others too. Tha incidence happence again and again so date is not fixed.,Commenting
Commenting and catcalling is very common in hajipur Auto stand.,Catcalls/Whistles
I came out of the bank and two men commented very vulgar words.,Commenting
Experienced Masturbation,Ogling/Facial Expressions/Staring
"Experienced Touching , groping",Touching /Groping
People pass inappropriate comments especially during the the night time.,Commenting
Indecent exposure when it was early in the morning,Indecent exposure
People pass inappropriate comments and make various facial expressions. Whistle and pass comments and sometimes gives sexual invites,Sexual Invites
Some young boys were whistling continuously which made her feel uncomfortable. They also passed various comments for which she had to leave the place.,Catcalls/Whistles
Lots of robberies,Poor / No Street Lighting
Lots of robberies,Poor / No Street Lighting
"In this space, I have been sexually harassed in different ways. From a group of men who have verbally assaulted me, to a man chasing me for a few meters. although it has police activity, they generally ignore the complaints",Catcalls/Whistles
Experienced Beating and groping,Touching /Groping
Experienced commenting,Commenting
"I often see men calling girls with different names and singing lewd songs, following them just for fun. But that is violating.",Catcalls/Whistles
Someone took my picture without my permission,Taking pictures
I was stalked at this location.,Stalking
Someone took my picture without my permission.,Taking pictures
Was stalked at this location,Stalking
Was touched and groped in this location,Touching /Groping
Experienced Stalking,Stalking
"he was passing by the corner of Cafe Goodluck,where an unmarried couple were fighting and in that heat the boy slapped the girl.  She was embarrassed and left the spot.",Sexual Invites
While I was returning to my hostel. Suddenly a guy came and asked whether I am interested in having sex with him??,Sexual Invites
Was commented upon and touched and groped in this location,Commenting
Boys were commenting on girl\'s dressing style,Taking pictures
"Whenever girls go out, one or other boy either comments, stalks, or catcalls or ask for number. And they enjoy doing that to girls.",Catcalls/Whistles
Experienced Stalking,Commenting
A boy often stalks and ogles me,Ogling/Facial Expressions/Staring
A boy often stalks and ogles me,Ogling/Facial Expressions/Staring
A man gave me a flying kiss and asked my number.,Commenting
An old man asked me to have sex,Sexual Invites
A boy was commenting on a girl's dress,Commenting
Someone Whistled at me,Catcalls/Whistles
"A boy stands on my school Gate and stares at me. He says vulgar things. And when I don\'t respond, he Ben stalks me to my home and even to my tuitions.",Commenting
Experienced Stalking,Stalking
"A group of 4-5 boys often stalks me on my way to tuition. They sing vulgar songs, whistles and winks at me. They even pull my dupatta.",Catcalls/Whistles
Experienced Stalking,Catcalls/Whistles
"Male experienced ogling and staring, commenting, catcalls and whistles and picture was taken without permission. This location has poor lighting.",Ogling/Facial Expressions/Staring
A rickshaw puller started masturbating after seeing me alone and he was staring at me,Indecent exposure
Jab bhi me markit jati hu vhan pr kuch gallt tarike se dekh kar galt baat karte hae !,Catcalls/Whistles
Was touched and groped,Touching /Groping
Incident has changed pattern of accessing location,Others
vhan par agr koi mhila kisi bhi kaam se khdi hoti hai to admi log gallt baat kar ke nikal jate hai,Catcalls/Whistles
"Guy sat across from me on the train from Lausanne to Geneva. Was constantly touching his foot to mine and staring and smiling creepily. When I would move my foot he would move his back again to be touching mine. When I got up to leave he again smiled but super creepily and said hey you, bye, have a good day in way that made me feel extremely uncomfortable. Perfect way to ruin someones entire day! Thanks creep!",Commenting
Kami telah singgah ke Sate Kxxxxg cawangan Elmina pada waktu tengahari sekitar jam 3 lebih .,Ogling/Facial Expressions/Staring
Incident has changed pattern of access to the location,Ogling/Facial Expressions/Staring
Middle aged man on activa flashed a girl after asking for directions to a nearby landmark.,Indecent exposure
Attempted Rape,Rape / Sexual Assault
sexuals invites and commenting,Commenting
A man was showing off his private part in the park.,Indecent exposure
Not changed access to location,Catcalls/Whistles
groping,Touching /Groping
"Reported stalking, catcalling, whistling, taking pictures, touching",Online Harassment
"Reported stalking, commenting, taking pictures, catcalling, whistling",Stalking
reported ogling and taking pictures and eve teasing,Ogling/Facial Expressions/Staring
"A suspected immigrant (Bangladeshi) was staring at my 5yo daughter as we left the changing room at the KLCC park. He tried to take a photo of her but i managed to hug and cover her. He went ahead and took the photo possibly with me in it as well. He did not apologise or appear deterred by my reaction and just walked away. But he seemed to be keeping an eye on my daughter. When i saw him walk away...i let her ride the park rides...less than 2m away from the bench i was sitting. All of a sudden he ran to her, put his left arm around her shoulder and tried to take a selfie with her. I immediately rushed to her...covered her face and told him No and go away...he still attempted to take a photo until i shoved him away...he just walked away with no apology.",Ogling/Facial Expressions/Staring
reported assault by a delivery boy,Touching /Groping
"Macho bystander yelled at pedestrian, calling attention to a physical feature.",Commenting
commenting at churchgate makes it unsafe,Commenting
the individual was faced with the trauma of stalking,Stalking
Incident has not changed access to the location,Others
"When I was returning back from school to home, two boys commented on me that I look like maal.",Commenting
कॉलेज जाते वकतपर कुछ लड़के  खड़े होकर हेरान करते है ।,Catcalls/Whistles
On the way to Bhekavali from Mahabaleshwar a car driver took an advantage of the crowd in car and used to touch the breast of a young girl again and again. I am writing the date nearest to the incident but not sure about exact date.,Touching /Groping
stalking at the location is what the individual faced,Stalking
incidents throughout the colony at night and the father is scared to let her daughters out,Catcalls/Whistles
the individual has faced indecent staring at the location and feels unsafe because of the crowd,Catcalls/Whistles
Person was not aware of the laws regarding sexual harassment,Commenting
Incident has not changed access to location,Others
stalking and commenting,Commenting
the individual feels unsafe at the location because there is a lot of staring and commenting,Commenting
commenting at the individual,Commenting
Taking pictures without permission,Stalking
the location is unsafe as there is a lot of harassment associated with commenting in the afternoon,Commenting
the person was showing genitalia,Indecent exposure
the individual has faced catcalling and whistling and also inappropriate pushing at the location,Catcalls/Whistles
the individual does not feel safe due to the crowd present and is scared to come out of her house post 12,Catcalls/Whistles
A young lady bag was snatched from her.,Chain Snatching
Two men were giving sexual invites by sticking out their tongues and using them in a disgusting manner,Sexual Invites
Man trying to converse with the girl at the park. Girl reacts by shouting at him and asking him to go away.,Catcalls/Whistles
the individual always feels unsafe due to the boys loitering around the streets and passing comments,Catcalls/Whistles
she was coming to hostel from Apte road. One man was following her. She increased her speed then also he was following her. She changed her road side. He stop the following,Stalking
She was going home by bus from pune corporation. At that time one guy who was seating her behind hold her with his hand and groped her. He leaved me when I was shouted on him.,Touching /Groping
I was walking around a car show with no bra on and two old men started making really lewd comments,Ogling/Facial Expressions/Staring
I was walking on a road where I saw few boys were stalking  and commenting on a girl. It was because of poor street light,Commenting
ogling/facial expressions at the location in the night,Ogling/Facial Expressions/Staring
boys come at night and catcall/whistle at girls,Catcalls/Whistles
"At the crowded station, the lady found herself being stared at, ignored and did not take any affirmative action.",Ogling/Facial Expressions/Staring
Commenting outside the mall.,Commenting
A man stalked me in park.,Stalking
Two boys who must be students of 11th or 12th were continuously whistling at me and my friend and singing vulgar item songs.,Catcalls/Whistles
Experienced Stalking,Catcalls/Whistles
A girl between the ages of 10-12 was raped in the public washroom .,Rape / Sexual Assault
Incident has not changed pattern of access to the location,Catcalls/Whistles
A group of boys were abusing every other girl in the park as if that's their way of fun.,Commenting
A female student being harassed through indecent exposure.,Indecent exposure
catcalls and whistling at the location makes it unsafe,Catcalls/Whistles
commenting and stalking at churchgate in the evening,Commenting
A group of boys commented on me while they found me going alone.,Commenting
catcalling/commenting/whistling/ogling/taking pictures,Catcalls/Whistles
the individual has faced and also seen other people getting harassed,Catcalls/Whistles
Has not changed pattern of accessing the location.,Catcalls/Whistles
ogling at churchgate in the afternoon,Ogling/Facial Expressions/Staring
I am the students of patna college and when I and my friend were on the campus few boys started following us and afterwards they started making facial expressions which discomforted me and my friends. When we showed objection they started commenting on us and one of the boy clicked our photograph for threating us,Commenting
stalking and ogling has been experienced in the morning,Ogling/Facial Expressions/Staring
the individual feels unsafe because of the crowd,Ogling/Facial Expressions/Staring
stalking and taking pictures of the individual,Stalking
the person does not feel safe due to the catcalls and whistling taking place every midnight,Catcalls/Whistles
A man was whistling when I was in the park with my family.,Catcalls/Whistles
Dangerous predator known for harassing and abusing women and children,Stalking
Boys stare me on my way to school in a vary bad way.,Catcalls/Whistles
A boy was saying me I love you. Please sit on my cycle and so on. However I replied back but felt really bad.,Commenting
A boy used to follow me during my college time.,Stalking
Incident did not change pattern of accessing the location,Stalking
I have seen this beautifully site being tarnished by the activities of public indecency. This place makes me shrink and is very scary.,Indecent exposure
"In last one week as everyone knows that in different regions of haryana 14 rapecases has occurred involving girls from 3years onwards to aged ones.And on the other hand people are protesting against the release of padmavaat.I mean it's shameful that youngsters are wasting their time as well as their power in such issues.Are these rape cases acceptable? And the movie which is based on fiction too is too much important for everyone to raise this issue.Rape cases must be the concern of Haryana government.It is like no girl is safe at any place either at their home,in school,in colleges and not even at their workplaces.Is this our democratic India?? I think no here the democracy is only for the rapists and the culprits. I am also a girl and I also stay away from my home for studies. There are times when I feel so unsafe while walking at the roadside or in the market. Is their any gender equality in India? We talk about gender equality and things like that girls can do everything that boys do but it's incorrect girls can't do such inhuman acts that boys do and where is our government ,where is our law what they are doing for girls. We the youngsters have to take a step ahead in this direction because this is our society our country where girls want to be safe.",Rape / Sexual Assault
"Three men robbed two girls at the apartments, upon breaking and entering: Chain snatching, phone theft occurred.",Chain Snatching
Experienced Ogling,Ogling/Facial Expressions/Staring
Few boys were taking pictures of my classmate who were not even from my department.,Taking pictures
Been sent nudes and bothered by men online,Others
Incident did not change pattern of accessing the location,Catcalls/Whistles
Not changed access to location,Catcalls/Whistles
A 19 year old student was stalked here.,Stalking
Incident has not changed pattern of accessing the location,Catcalls/Whistles
me kakarya gai thi to vhan par ladke bhot khrab hote hai or mhilao ke stha coomenting karte hai,Commenting
"This is the area that was described as yes for sexual harassment near Jai Hind College and Government Law College, near Churchgate Station. No specifics given.",Catcalls/Whistles
"This is the area that was described as yes for sexual harassment near Jai Hind College and Government Law College, near Churchgate Station. No specifics given.",Catcalls/Whistles
Poor lighting and a place which is isolated and unsafe walking by at night,Poor / No Street Lighting
Got groped and inappropriately touched by an old man on the way from college,Touching /Groping
Groped by a man on the bus but he ran away before we could report him,Touching /Groping
A group of men kept catcalling and asking us to go with them,Catcalls/Whistles
Incident has not changed the pattern of accessing the location,Catcalls/Whistles
Not changed pattern of accessing the location,Ogling/Facial Expressions/Staring
Incident has changed pattern of accessing the location,Touching /Groping
Incident has changed pattern of access to the location,Touching /Groping
Catcalls and whistles experienced here,Catcalls/Whistles
Commenting and eve teasing by a group of boys,Commenting
Group of girls stalked by a man for around half an hour,Stalking
A group of boys were laughing and taking pictures when I was standing nearby,Taking pictures
Standing in the women's section alone and I was stared at by a man,Ogling/Facial Expressions/Staring
Got groped and inappropriately touched by an old man on the way from college,Touching /Groping
Almost got raped by a man who asked me for help,Touching /Groping
A student here was stalked twice here. She was also catcalled and commented upon.,Ogling/Facial Expressions/Staring
A girl was coming g back from her school.  And a boy was just stalking her and commenting on her in some vulgar words. That girl was terrified.  Then I called her to my house and called her family so that she can go home safely.,Catcalls/Whistles
Homophobic construction workers yell “Bakla!” at straight male pedestrian wearing pink.,Commenting
I was groped by a man when I was waiting for auto.,Touching /Groping
"A woman from UK was sitting alone and we approached her because although she was sitting alone, she was surrounded by four men who were taking a selfie with her. When we asked her about it, she said they had asked her for a picture and after she had declined, they still took a picture. She said it was the third time that evening that someone had done this to her. While I was speaking to her, multiple times, men came and listened to our conversation and contiued to take pictures with/of her. When I asked them what they wanted, they replied with \""they wanted to hear what she was talking.\"" She also said that she was stalked the previous night from CST to Churchgate. And the man only left when she told him she doesn\'t drink alcohol. Another man had come up to her on Chowpatty and asked if she wanted to have sex with him.",Catcalls/Whistles
"A woman from UK was sitting alone and we approached her because although she was sitting alone, she was surrounded by four men who were taking a selfie with her. When we asked her about it, she said they had asked her for a picture and after she had declined, they still took a picture. She said it was the third time that evening that someone had done this to her. While I was speaking to her, multiple times, men came and listened to our conversation and contiued to take pictures with/of her. When I asked them what they wanted, they replied with \""they wanted to hear what she was talking.\"" She also said that she was stalked the previous night from CST to Churchgate. And the man only left when she told him she doesn\'t drink alcohol. Another man had come up to her on Chowpatty and asked if she wanted to have sex with him.",Catcalls/Whistles
"reported stares, facial expressions and stalking by a friend",Ogling/Facial Expressions/Staring
A 20 year old woman was touched and groped here.,Touching /Groping
commenting at the location in the afternoon,Commenting
the individual has faced catcalls/whistling at beach and feels unsafe because of the crowd,Catcalls/Whistles
saam ke vak ladke log daaru pi kar mhilao ke sath commenting karte hai,Commenting
Ogling and catcalling when she was waiting for the train,Catcalls/Whistles
"People keep ogling, which makes the person feel uncomfortable.",Ogling/Facial Expressions/Staring
A woman at the beach found a man staring at her inappropriately in the evening time of the day.,Ogling/Facial Expressions/Staring
Unsure whether incident has changed access to the place,Ogling/Facial Expressions/Staring
"The person was inappropriately touched, and stalked. It has changed her accessibility to the loacation. She uses an alternative lane.",Stalking
the individual does not feel safe at this location because of the crowd,Catcalls/Whistles
A man was masturbating while looking at me,Indecent exposure
"The person was stalked, but since she has to access that place regularly, it hasnt changed anything for her",Stalking
"A female student, approximately 2 months back experienced inappropriate touching",Touching /Groping
me ghar ke kaam se bhar nikal ti hu to ek ladka mujhe daekh kar git gaata hai,Commenting
यहाँ से महिलाओ को निकलने  मे रास्ता खराब  होगया है । तो लड़कियाँ डरती है ।  जाने  से,Catcalls/Whistles
"People kept taking pictures without her consent, which made her feel uncomfortable.",Ogling/Facial Expressions/Staring
the individual faced a situation where her pictures were being taken and took action against them by asking them to leave,Taking pictures
the individual has faced the trauma of catcalling and whistling at the location,Catcalls/Whistles
he was going through street. At the same time girls were walking through street. Some boys came with their bikes towards the girls. Some chitchat happened with them. After that girls were scared and ran away from the place.,Touching /Groping
The incident did not change the pattern of accessing the location,Ogling/Facial Expressions/Staring
the individual has faced catcalling at the location and has also seen people taking pictures of others,Catcalls/Whistles
"The person faced Eve teasing, but that hasnt changed her pattern of accessing the situation.",Commenting
I'm travelling in a train. A boy is constantly staring at me and that is making me uncomfortable.,Ogling/Facial Expressions/Staring
"Staring, sexual invites",Ogling/Facial Expressions/Staring
I was wearing shorts. I noticed this guys walking towards me with his phone. It was clear that he was taking a picture. He noticed that I could make out so hurriedly kept his phone aside. I don’t think he got a shot.,Taking pictures
Pedestrian yells at another pedestrian on their looks. Former is looking for a fight with latter.,Commenting
A 21 year old male was stalked here.,Stalking
"The person was inappropriately stared at, and pictures were taken without her consent. The person also feels that everybody should be aware of their own rights.",Ogling/Facial Expressions/Staring
"Whenever she visits the beach, she finds people staring at her. Makes her feel uncomfortable.",Ogling/Facial Expressions/Staring
the individual has faced catcalling and whistling at the location,Catcalls/Whistles
I was travelling in a local passenger and then I saw a man who was trying to touch a woman's personal parts sitting just by his side.,Touching /Groping
the individual faced the trauma of indecent exposure and Stalking,Stalking
"A 20 year old student faced catcalling, commenting and stalking here less than a month ago.",Stalking
I was in an auto and a man sitting beside me was continuously elbowing me at my bust. He even pinched me.,Indecent exposure
A group of boys were commenting on my dress and body.,Commenting
Driver is staring like a hungry dog.,Ogling/Facial Expressions/Staring
A lot of shopkeepers outside the metro station were passing comments and staring at the girls passing by.,Catcalls/Whistles
I regularly come to this area and I return during the night time at around 7:30-8:00. People usually whistle and pass inappropriate comments.,Catcalls/Whistles
Students in that area said that they face catcalling and people often whistle when they are coming to the college.,Catcalls/Whistles
"A 20 year old student was commented upon and stalked here, around 2 months ago.",Stalking
मै कुछ सम्मन लेने के लिये गई  थी तो  एक लड़का  मेरे पीछे पीछे आ रहन था,Catcalls/Whistles
Swag Markit ke past kuch lake khede hour cement kar rhthe,Commenting
stalking,Stalking
mobile snatching,Others
mobile snatching,Others
taking picture,Taking pictures
"A friend of mine was assaulted by a boy who at first was staring at her and when she scolded that boy,he started passing bad and vulgar comments on her",Commenting
reported touching/groping and stalking,Stalking
"reported ogling,catcalls, taking pictures, commenting, no streetlights",Catcalls/Whistles
"reported ogling, catcalls and indecent exposure",Catcalls/Whistles
"stalking, taking pictures",Stalking
reported taking pictures and commenting,Commenting
She and her Friend were going from joshi wadewale which is located near corporation. One man came in front of them and take down his pant. He did not wear underwear. They were shocked. He went away from them. They tried to found him but he tried hide himself from them. And tried to leave the place.,Sexual Invites
She and her Friend were going from joshi wadewale which is located near corporation. One man came in front of them and take down his pant. He did not wear underwear. They were shocked. He went away from them. They tried to found him but he tried hide himself from them. And tried to leave the place.,Sexual Invites
